symbol,name,exchange,breakout_date,breakout_close,breakout_ma250,breakout_premium_pct,latest_date,latest_close,latest_ma250,latest_premium_pct,sessions_since_breakout,signal_type
PII,Polaris Inc. Common Stock,NYSE,2026-08-31,64.54000091552734,64.5233200378418,0.0258524788801395,2026-08-31,64.54000091552734,64.5233200378418,0.0258524788801395,0,today
AFYA,Afya Limited - Class A Common Shares,NASDAQ,2026-08-31,14.600000381469728,14.592479999542237,0.0515360098333195,2026-08-31,14.600000381469728,14.592479999542237,0.0515360098333195,0,today
PODC,"PodcastOne, Inc. - Common Stock",NASDAQ,2026-08-31,2.7850000858306885,2.7805800018310545,0.158962662348272,2026-08-31,2.7850000858306885,2.7805800018310545,0.158962662348272,0,today
KEN,Kenon Holdings Ltd. Ordinary Shares,NYSE,2026-08-31,68.5199966430664,68.4044320678711,0.1689431104122674,2026-08-31,68.5199966430664,68.4044320678711,0.1689431104122674,0,today
SCWO,374Water Inc. - common stock,NASDAQ,2026-08-31,2.8399999141693115,2.834960000038147,0.1777772572133962,2026-08-31,2.8399999141693115,2.834960000038147,0.1777772572133962,0,today
SSD,"Simpson Manufacturing Company, Inc. Common Stock",NYSE,2026-08-31,182.61000061035156,182.2359605102539,0.2052504341351513,2026-08-31,182.61000061035156,182.2359605102539,0.2052504341351513,0,today
ETD,Ethan Allen Interiors Inc. Common Stock,NYSE,2026-08-31,23.649999618530273,23.599199981689452,0.2152599955940637,2026-08-31,23.649999618530273,23.599199981689452,0.2152599955940637,0,today
VALU,"Value Line, Inc. - Common Stock",NASDAQ,2026-08-31,37.0099983215332,36.83024003601074,0.4880725331865898,2026-08-31,37.0099983215332,36.83024003601074,0.4880725331865898,0,today
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,NASDAQ,2026-08-31,64.58000183105469,64.2101600341797,0.5759864119293967,2026-08-31,64.58000183105469,64.2101600341797,0.5759864119293967,0,today
AROC,"Archrock, Inc. Common Stock",NYSE,2026-08-31,31.520000457763672,31.329599952697755,0.6077335981097276,2026-08-31,31.520000457763672,31.329599952697755,0.6077335981097276,0,today
RCI,"Rogers Communication, Inc. Common Stock",NYSE,2026-08-31,36.88999938964844,36.61108002471923,0.7618441322705616,2026-08-31,36.88999938964844,36.61108002471923,0.7618441322705616,0,today
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,2026-08-31,276.8599853515625,274.57116033935546,0.8335999343041633,2026-08-31,276.8599853515625,274.57116033935546,0.8335999343041633,0,today
ENGS,Energys Group Limited - Ordinary Shares,NASDAQ,2026-08-31,2.6500000953674316,2.626000004529953,0.9139410051819176,2026-08-31,2.6500000953674316,2.626000004529953,0.9139410051819176,0,today
YOU,"Clear Secure, Inc. Class A Common Stock",NYSE,2026-08-31,44.150001525878906,43.715799980163574,0.9932371040044076,2026-08-31,44.150001525878906,43.715799980163574,0.9932371040044076,0,today
JACK,Jack In The Box Inc. - Common Stock,NASDAQ,2026-08-31,16.510000228881836,16.344240005493162,1.0141812854740362,2026-08-31,16.510000228881836,16.344240005493162,1.0141812854740362,0,today
RMCO,Royalty Management Holding Corporation - Class A Common Stock,NASDAQ,2026-08-31,2.9600000381469727,2.9272640018463134,1.11831513249272,2026-08-31,2.9600000381469727,2.9272640018463134,1.11831513249272,0,today
OSTX,OS Therapies Incorporated Common Stock,NYSE American,2026-08-31,1.690000057220459,1.6709599995613098,1.1394681897919812,2026-08-31,1.690000057220459,1.6709599995613098,1.1394681897919812,0,today
XP,XP Inc. - Class A Common Stock,NASDAQ,2026-08-31,18.229999542236328,18.021340015411376,1.1578469006550796,2026-08-31,18.229999542236328,18.021340015411376,1.1578469006550796,0,today
SSP,E.W. Scripps Company (The) - Class A Common Stock,NASDAQ,2026-08-31,3.309999942779541,3.269816246986389,1.2289282564482695,2026-08-31,3.309999942779541,3.269816246986389,1.2289282564482695,0,today
GWAV,"Greenwave Technology Solutions, Inc. - Common Stock",NASDAQ,2026-08-31,4.900000095367432,4.8394320030212405,1.251553742430489,2026-08-31,4.900000095367432,4.8394320030212405,1.251553742430489,0,today
NPCE,"Neuropace, Inc. - Common Stock",NASDAQ,2026-08-31,14.649999618530272,14.461080028533935,1.3064002800867724,2026-08-31,14.649999618530272,14.461080028533935,1.3064002800867724,0,today
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,2026-08-31,12.649999618530272,12.485120010375976,1.3206089169929711,2026-08-31,12.649999618530272,12.485120010375976,1.3206089169929711,0,today
SWKS,"Skyworks Solutions, Inc. - Common Stock",NASDAQ,2026-08-31,67.01000213623047,66.1262799835205,1.3364159498012065,2026-08-31,67.01000213623047,66.1262799835205,1.3364159498012065,0,today
QCOM,QUALCOMM Incorporated - Common Stock,NASDAQ,2026-08-31,170.47999572753906,167.93127984619142,1.5177136050425144,2026-08-31,170.47999572753906,167.93127984619142,1.5177136050425144,0,today
BTLN,"Brightline Interactive, Inc. - Common Stock",NASDAQ,2026-08-31,0.976199984550476,0.959128799200058,1.7798637017943708,2026-08-31,0.976199984550476,0.959128799200058,1.7798637017943708,0,today
EDSA,"Edesa Biotech, Inc. - Common Shares",NASDAQ,2026-08-31,4.735000133514404,4.6496200110912325,1.8362817223666728,2026-08-31,4.735000133514404,4.6496200110912325,1.8362817223666728,0,today
CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,2026-08-31,95.5500030517578,93.61495993041991,2.067023393244116,2026-08-31,95.5500030517578,93.61495993041991,2.067023393244116,0,today
GRO,Brazil Potash Corp. Common Shares,NYSE American,2026-08-31,2.5999999046325684,2.5305600099563597,2.7440524786213727,2026-08-31,2.5999999046325684,2.5305600099563597,2.7440524786213727,0,today
MTEX,"Mannatech, Incorporated - Common Stock",NASDAQ,2026-08-31,7.179999828338623,6.976600005149841,2.9154577163466477,2026-08-31,7.179999828338623,6.976600005149841,2.9154577163466477,0,today
BTBD,"BT Brands, Inc. - Common Stock",NASDAQ,2026-08-31,1.5299999713897705,1.484831998348236,3.041958490373342,2026-08-31,1.5299999713897705,1.484831998348236,3.041958490373342,0,today
LZM,Lifezone Metals Limited Ordinary Shares,NYSE,2026-08-31,4.630000114440918,4.486520007133484,3.198026690604383,2026-08-31,4.630000114440918,4.486520007133484,3.198026690604383,0,today
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,2026-08-31,11.739999771118164,11.368739986419678,3.2656194542400208,2026-08-31,11.739999771118164,11.368739986419678,3.2656194542400208,0,today
